RELIG,CHILDS,AGEKDBRN,EDUC,HAPPY,ATTEND,GOD,INCOME16,FAMGEN,RELIG16,RELITEN,DEGREE,AGE,SEX,RACE,MARITAL,POLVIEWS,HRS1
PROTESTANT,4.0,19.0,12.0,2.0,2-3 times a month,6.0,9.0,1.0,PROTESTANT,Strong,High school,48.0,2.0,2.0,4.0,3.0,32.0
CATHOLIC,1.0,20.0,12.0,2.0,Never,4.0,20.0,2.0,CATHOLIC,Not very strong,High school,28.0,2.0,3.0,1.0,4.0,40.0
PROTESTANT,6.0,29.0,12.0,1.0,About once or twice a year,6.0,10.0,2.0,PROTESTANT,Strong,High school,47.0,1.0,2.0,1.0,2.0,
PROTESTANT,1.0,21.0,13.0,1.0,Never,6.0,17.0,1.0,PROTESTANT,Not very strong,High school,42.0,2.0,2.0,5.0,6.0,36.0
PROTESTANT,3.0,21.0,12.0,2.0,Never,5.0,23.0,1.0,PROTESTANT,Not very strong,High school,38.0,2.0,1.0,1.0,6.0,15.0
NONE,1.0,37.0,16.0,1.0,About once or twice a year,2.0,22.0,2.0,PROTESTANT,No religion,Bachelor's,53.0,1.0,1.0,1.0,4.0,
NONE,4.0,18.0,14.0,1.0,Never,3.0,20.0,2.0,PROTESTANT,No religion,High school,40.0,1.0,2.0,3.0,2.0,50.0
NONE,2.0,27.0,15.0,1.0,Several times a year,1.0,26.0,1.0,PROTESTANT,No religion,Associate/junior college,57.0,1.0,1.0,1.0,6.0,75.0
PROTESTANT,1.0,46.0,11.0,1.0,Nearly every week,6.0,19.0,2.0,CATHOLIC,Strong,High school,51.0,1.0,1.0,1.0,3.0,40.0
NONE,2.0,23.0,14.0,2.0,Every week,5.0,10.0,1.0,PROTESTANT,No religion,Associate/junior college,60.0,2.0,1.0,4.0,1.0,
PROTESTANT,0.0,,18.0,2.0,Every week,6.0,23.0,1.0,PROTESTANT,Strong,Graduate,55.0,2.0,1.0,3.0,6.0,40.0
PROTESTANT,3.0,17.0,14.0,1.0,About once a month,6.0,26.0,1.0,PROTESTANT,Strong,High school,40.0,2.0,1.0,1.0,6.0,52.0
NONE,2.0,23.0,11.0,2.0,Every week,6.0,,2.0,PROTESTANT,No religion,Less than high school,25.0,1.0,1.0,1.0,,35.0
CATHOLIC,0.0,,6.0,1.0,2-3 times a month,6.0,12.0,1.0,CATHOLIC,Not very strong,Less than high school,19.0,2.0,3.0,5.0,4.0,
CATHOLIC,0.0,,3.0,3.0,Never,6.0,13.0,1.0,CATHOLIC,Not very strong,Less than high school,46.0,1.0,3.0,5.0,3.0,
PROTESTANT,5.0,15.0,9.0,2.0,Several times a year,6.0,9.0,1.0,PROTESTANT,Not very strong,Less than high school,60.0,2.0,2.0,3.0,6.0,
PROTESTANT,2.0,19.0,12.0,2.0,2-3 times a month,6.0,4.0,2.0,PROTESTANT,Not very strong,High school,22.0,2.0,3.0,5.0,4.0,30.0
NONE,0.0,,19.0,1.0,Never,3.0,19.0,1.0,PROTESTANT,No religion,Graduate,29.0,2.0,2.0,5.0,2.0,38.0
NONE,0.0,,16.0,3.0,Never,3.0,16.0,1.0,PROTESTANT,No religion,Bachelor's,28.0,1.0,2.0,5.0,1.0,25.0
PROTESTANT,2.0,18.0,12.0,2.0,Never,5.0,10.0,1.0,PROTESTANT,Strong,High school,36.0,2.0,2.0,5.0,6.0,45.0
JEWISH,2.0,24.0,16.0,1.0,About once a month,4.0,16.0,2.0,JEWISH,Not very strong,Bachelor's,29.0,2.0,1.0,1.0,4.0,
PROTESTANT,2.0,23.0,12.0,2.0,About once or twice a year,6.0,18.0,1.0,PROTESTANT,Strong,High school,40.0,1.0,2.0,1.0,3.0,52.0
NONE,0.0,,14.0,1.0,Less than once a year,6.0,21.0,1.0,PROTESTANT,No religion,High school,47.0,1.0,1.0,1.0,4.0,40.0
NONE,1.0,,13.0,2.0,Less than once a year,6.0,21.0,1.0,PROTESTANT,No religion,High school,,2.0,2.0,5.0,4.0,
PROTESTANT,2.0,26.0,14.0,2.0,2-3 times a month,6.0,16.0,1.0,PROTESTANT,Strong,High school,51.0,1.0,2.0,3.0,3.0,30.0
PROTESTANT,0.0,,13.0,3.0,Several times a year,6.0,11.0,1.0,PROTESTANT,Not very strong,High school,63.0,1.0,1.0,5.0,3.0,
NONE,0.0,,13.0,2.0,Never,3.0,19.0,1.0,PROTESTANT,No religion,High school,33.0,1.0,2.0,5.0,4.0,60.0
CATHOLIC,2.0,24.0,12.0,2.0,About once a month,3.0,19.0,2.0,CATHOLIC,Not very strong,High school,47.0,2.0,2.0,1.0,4.0,40.0
PROTESTANT,1.0,22.0,15.0,2.0,Every week,5.0,22.0,2.0,CATHOLIC,Strong,High school,26.0,2.0,3.0,1.0,5.0,28.0
PROTESTANT,2.0,28.0,16.0,1.0,Several times a week,6.0,20.0,1.0,PROTESTANT,Not very strong,Bachelor's,68.0,1.0,2.0,1.0,2.0,20.0
PROTESTANT,1.0,25.0,16.0,2.0,Every week,6.0,22.0,1.0,PROTESTANT,Not very strong,Bachelor's,36.0,2.0,2.0,1.0,4.0,40.0
PROTESTANT,0.0,,14.0,2.0,About once or twice a year,6.0,22.0,1.0,PROTESTANT,Not very strong,Associate/junior college,34.0,1.0,1.0,5.0,4.0,89.0
PROTESTANT,0.0,,17.0,2.0,About once a month,5.0,26.0,2.0,PROTESTANT,Somewhat strong (vol.),Bachelor's,30.0,2.0,2.0,5.0,4.0,40.0
NONE,2.0,21.0,13.0,2.0,Never,3.0,25.0,1.0,CATHOLIC,No religion,High school,71.0,2.0,1.0,1.0,3.0,
JEWISH,0.0,,12.0,2.0,Every week,6.0,22.0,1.0,JEWISH,Strong,High school,28.0,2.0,1.0,5.0,6.0,55.0
PROTESTANT,2.0,22.0,16.0,1.0,Several times a week,6.0,20.0,1.0,PROTESTANT,Strong,Bachelor's,65.0,1.0,2.0,1.0,2.0,16.0
PROTESTANT,4.0,22.0,12.0,1.0,Every week,6.0,26.0,2.0,PROTESTANT,Strong,High school,49.0,1.0,1.0,1.0,7.0,20.0
NONE,1.0,21.0,12.0,2.0,Less than once a year,4.0,14.0,1.0,PROTESTANT,No religion,High school,32.0,1.0,1.0,3.0,4.0,20.0
NONE,0.0,,15.0,2.0,Never,1.0,4.0,1.0,PROTESTANT,No religion,High school,21.0,2.0,1.0,5.0,2.0,
PROTESTANT,2.0,28.0,14.0,1.0,Every week,6.0,19.0,2.0,PROTESTANT,Strong,Associate/junior college,38.0,2.0,1.0,1.0,6.0,27.0
OTHER,0.0,,14.0,2.0,Never,3.0,20.0,2.0,CATHOLIC,Not very strong,High school,22.0,1.0,1.0,5.0,4.0,40.0
PROTESTANT,3.0,21.0,14.0,2.0,Several times a year,6.0,19.0,2.0,PROTESTANT,Not very strong,High school,50.0,1.0,2.0,3.0,3.0,48.0
PROTESTANT,4.0,24.0,13.0,1.0,2-3 times a month,2.0,9.0,2.0,PROTESTANT,Not very strong,High school,86.0,1.0,2.0,1.0,5.0,
PROTESTANT,4.0,19.0,12.0,3.0,Several times a week,6.0,17.0,2.0,PROTESTANT,Strong,High school,59.0,2.0,3.0,1.0,,40.0
NONE,0.0,,15.0,3.0,Never,6.0,17.0,2.0,NONE,No religion,Associate/junior college,28.0,2.0,2.0,3.0,,
PROTESTANT,2.0,20.0,15.0,2.0,Several times a week,6.0,21.0,1.0,PROTESTANT,Strong,High school,54.0,1.0,2.0,1.0,4.0,40.0
PROTESTANT,0.0,,15.0,1.0,Every week,6.0,20.0,1.0,PROTESTANT,Strong,Bachelor's,71.0,2.0,2.0,1.0,4.0,
NONE,2.0,21.0,16.0,2.0,Several times a year,3.0,25.0,5.0,MUSLIM/ISLAM,No religion,Associate/junior college,58.0,2.0,2.0,1.0,4.0,37.0
PROTESTANT,2.0,22.0,3.0,2.0,Every week,6.0,,3.0,CATHOLIC,Strong,Less than high school,88.0,2.0,1.0,2.0,,
CATHOLIC,2.0,26.0,12.0,2.0,About once or twice a year,6.0,24.0,1.0,CATHOLIC,Not very strong,High school,34.0,1.0,1.0,1.0,4.0,40.0
NONE,4.0,32.0,12.0,2.0,About once or twice a year,6.0,11.0,1.0,PROTESTANT,No religion,High school,52.0,2.0,1.0,5.0,6.0,
CATHOLIC,2.0,27.0,12.0,3.0,2-3 times a month,6.0,,6.0,CATHOLIC,Not very strong,Less than high school,71.0,2.0,1.0,1.0,4.0,
PROTESTANT,1.0,18.0,11.0,2.0,Several times a year,5.0,,2.0,PROTESTANT,Not very strong,High school,21.0,2.0,3.0,1.0,4.0,20.0
NONE,2.0,20.0,12.0,1.0,Never,6.0,8.0,2.0,PROTESTANT,No religion,High school,23.0,1.0,2.0,5.0,4.0,32.0
PROTESTANT,0.0,,12.0,1.0,Never,6.0,2.0,1.0,PROTESTANT,Strong,High school,82.0,1.0,2.0,2.0,1.0,
PROTESTANT,3.0,26.0,12.0,2.0,About once or twice a year,3.0,18.0,6.0,PROTESTANT,Not very strong,High school,34.0,1.0,2.0,1.0,4.0,30.0
PROTESTANT,3.0,26.0,14.0,3.0,Less than once a year,3.0,14.0,5.0,PROTESTANT,Not very strong,High school,32.0,2.0,2.0,3.0,,37.0
PROTESTANT,0.0,,15.0,2.0,Every week,6.0,18.0,1.0,PROTESTANT,Strong,Graduate,43.0,2.0,2.0,3.0,4.0,30.0
PROTESTANT,2.0,21.0,12.0,2.0,2-3 times a month,6.0,16.0,1.0,PROTESTANT,Strong,High school,75.0,2.0,2.0,2.0,4.0,
CATHOLIC,1.0,30.0,12.0,1.0,Never,5.0,18.0,2.0,NONE,Not very strong,High school,46.0,1.0,1.0,1.0,5.0,50.0
OTHER,0.0,,12.0,3.0,Never,5.0,16.0,1.0,OTHER,Not very strong,High school,33.0,1.0,3.0,5.0,6.0,60.0
CATHOLIC,4.0,18.0,4.0,3.0,Every week,6.0,9.0,1.0,CATHOLIC,Strong,Less than high school,79.0,2.0,3.0,3.0,6.0,
PROTESTANT,2.0,25.0,12.0,2.0,About once a month,6.0,,1.0,NONE,Strong,High school,50.0,2.0,1.0,3.0,7.0,
PROTESTANT,4.0,19.0,16.0,1.0,Every week,6.0,22.0,2.0,CATHOLIC,Strong,Bachelor's,40.0,2.0,1.0,3.0,4.0,20.0
PROTESTANT,6.0,22.0,4.0,3.0,Several times a year,6.0,3.0,4.0,PROTESTANT,Strong,Less than high school,89.0,2.0,2.0,2.0,,
CATHOLIC,3.0,24.0,13.0,1.0,Every week,5.0,19.0,2.0,CATHOLIC,Not very strong,High school,65.0,1.0,3.0,1.0,6.0,40.0
CATHOLIC,2.0,19.0,13.0,2.0,Nearly every week,6.0,16.0,1.0,CATHOLIC,Strong,High school,69.0,2.0,2.0,3.0,5.0,
PROTESTANT,3.0,18.0,12.0,1.0,Every week,6.0,15.0,1.0,PROTESTANT,Strong,High school,73.0,1.0,2.0,3.0,5.0,
NONE,2.0,21.0,9.0,2.0,Never,5.0,,6.0,NONE,No religion,Less than high school,53.0,2.0,1.0,5.0,2.0,30.0
PROTESTANT,1.0,29.0,14.0,2.0,Several times a year,6.0,22.0,1.0,CATHOLIC,Not very strong,Associate/junior college,46.0,2.0,1.0,1.0,6.0,
CATHOLIC,1.0,23.0,12.0,3.0,About once or twice a year,6.0,21.0,1.0,CATHOLIC,Not very strong,High school,56.0,2.0,1.0,3.0,4.0,50.0
JEWISH,5.0,25.0,12.0,1.0,Several times a week,6.0,25.0,1.0,JEWISH,Strong,High school,71.0,1.0,1.0,1.0,6.0,40.0
PROTESTANT,0.0,,12.0,1.0,Several times a year,6.0,21.0,1.0,PROTESTANT,Strong,High school,33.0,1.0,1.0,5.0,4.0,40.0
JEWISH,1.0,34.0,15.0,3.0,2-3 times a month,5.0,,1.0,JEWISH,Somewhat strong (vol.),High school,68.0,2.0,1.0,3.0,2.0,
JEWISH,4.0,19.0,12.0,2.0,Several times a year,6.0,16.0,1.0,JEWISH,Not very strong,High school,89.0,2.0,1.0,2.0,4.0,
PROTESTANT,0.0,,9.0,3.0,Several times a year,6.0,9.0,1.0,NONE,Not very strong,Less than high school,19.0,1.0,1.0,5.0,,22.0
PROTESTANT,0.0,,16.0,3.0,2-3 times a month,6.0,,4.0,PROTESTANT,Not very strong,Bachelor's,26.0,1.0,2.0,5.0,6.0,
PROTESTANT,0.0,,18.0,1.0,Less than once a year,6.0,17.0,1.0,NONE,Not very strong,Graduate,28.0,2.0,1.0,3.0,4.0,44.0
NONE,2.0,24.0,12.0,3.0,Never,5.0,7.0,1.0,NONE,No religion,High school,70.0,1.0,1.0,3.0,4.0,
PROTESTANT,1.0,29.0,11.0,3.0,Every week,6.0,18.0,2.0,CATHOLIC,Strong,Less than high school,38.0,2.0,2.0,1.0,1.0,35.0
CATHOLIC,4.0,29.0,18.0,1.0,Several times a year,6.0,26.0,1.0,CATHOLIC,Not very strong,Graduate,39.0,1.0,1.0,1.0,5.0,40.0
PROTESTANT,0.0,,13.0,2.0,Every week,5.0,25.0,2.0,PROTESTANT,Somewhat strong (vol.),High school,19.0,1.0,3.0,5.0,3.0,
CATHOLIC,1.0,34.0,18.0,2.0,About once or twice a year,6.0,26.0,2.0,CATHOLIC,Somewhat strong (vol.),Graduate,45.0,1.0,1.0,1.0,4.0,
PROTESTANT,1.0,33.0,18.0,1.0,Less than once a year,1.0,26.0,1.0,PROTESTANT,Not very strong,Graduate,47.0,2.0,1.0,1.0,2.0,50.0
PROTESTANT,2.0,32.0,18.0,1.0,Several times a year,5.0,25.0,1.0,PROTESTANT,Strong,Graduate,46.0,1.0,1.0,1.0,4.0,40.0
NONE,0.0,,11.0,2.0,Less than once a year,3.0,21.0,2.0,NONE,No religion,Less than high school,19.0,2.0,1.0,5.0,4.0,
PROTESTANT,2.0,35.0,16.0,2.0,About once a month,6.0,25.0,1.0,PROTESTANT,Strong,Bachelor's,48.0,2.0,2.0,3.0,4.0,45.0
CATHOLIC,3.0,28.0,15.0,1.0,2-3 times a month,6.0,26.0,1.0,CATHOLIC,Strong,High school,38.0,2.0,1.0,1.0,4.0,
PROTESTANT,0.0,,16.0,2.0,About once or twice a year,6.0,24.0,2.0,PROTESTANT,Strong,Bachelor's,24.0,1.0,2.0,5.0,1.0,
CATHOLIC,1.0,19.0,12.0,2.0,Never,3.0,7.0,1.0,CATHOLIC,Not very strong,High school,54.0,2.0,2.0,5.0,7.0,
MUSLIM/ISLAM,3.0,21.0,15.0,1.0,Every week,6.0,13.0,1.0,PROTESTANT,Strong,Associate/junior college,50.0,1.0,2.0,2.0,4.0,36.0
NONE,2.0,28.0,13.0,2.0,Never,3.0,25.0,2.0,PROTESTANT,No religion,High school,48.0,1.0,2.0,3.0,3.0,53.0
PROTESTANT,0.0,,14.0,2.0,Never,5.0,13.0,5.0,PROTESTANT,Not very strong,High school,25.0,1.0,2.0,5.0,1.0,20.0
NONE,3.0,16.0,12.0,1.0,Never,2.0,19.0,1.0,NONE,No religion,High school,59.0,1.0,2.0,3.0,7.0,40.0
NONE,0.0,,12.0,2.0,Never,1.0,16.0,1.0,PROTESTANT,No religion,High school,25.0,1.0,2.0,5.0,4.0,40.0
PROTESTANT,1.0,23.0,14.0,1.0,Several times a week,6.0,19.0,1.0,PROTESTANT,Strong,Associate/junior college,28.0,2.0,2.0,1.0,,47.0
PROTESTANT,2.0,21.0,13.0,3.0,2-3 times a month,6.0,11.0,1.0,PROTESTANT,Strong,High school,40.0,2.0,2.0,5.0,6.0,40.0
NONE,3.0,20.0,18.0,1.0,About once or twice a year,2.0,20.0,1.0,NONE,No religion,Graduate,73.0,2.0,1.0,1.0,2.0,
PROTESTANT,2.0,20.0,10.0,2.0,About once or twice a year,5.0,23.0,1.0,PROTESTANT,Not very strong,Less than high school,50.0,1.0,1.0,1.0,4.0,57.0
CATHOLIC,0.0,,16.0,1.0,Never,4.0,22.0,2.0,CATHOLIC,Not very strong,High school,20.0,2.0,1.0,5.0,3.0,42.0
CATHOLIC,2.0,28.0,14.0,1.0,About once a month,6.0,21.0,2.0,CATHOLIC,Strong,High school,43.0,1.0,1.0,1.0,4.0,60.0
PROTESTANT,0.0,,16.0,2.0,2-3 times a month,5.0,24.0,1.0,PROTESTANT,Strong,Bachelor's,68.0,2.0,1.0,1.0,6.0,
CATHOLIC,0.0,,12.0,1.0,Nearly every week,5.0,24.0,2.0,CATHOLIC,Strong,High school,18.0,1.0,1.0,5.0,4.0,35.0
PROTESTANT,4.0,28.0,14.0,1.0,About once or twice a year,6.0,26.0,1.0,PROTESTANT,Somewhat strong (vol.),High school,54.0,2.0,2.0,1.0,2.0,40.0
NONE,1.0,36.0,17.0,2.0,Never,1.0,14.0,1.0,NONE,No religion,Graduate,71.0,2.0,1.0,3.0,4.0,20.0
NONE,0.0,,12.0,1.0,Never,3.0,18.0,1.0,CATHOLIC,No religion,High school,28.0,2.0,1.0,1.0,4.0,40.0
PROTESTANT,0.0,,16.0,3.0,Never,6.0,19.0,1.0,PROTESTANT,Not very strong,Bachelor's,46.0,1.0,2.0,5.0,4.0,40.0
PROTESTANT,4.0,25.0,10.0,2.0,Less than once a year,4.0,16.0,1.0,PROTESTANT,Not very strong,Less than high school,47.0,1.0,1.0,1.0,4.0,42.0
CATHOLIC,0.0,,12.0,3.0,Several times a year,6.0,19.0,1.0,CATHOLIC,Not very strong,High school,65.0,2.0,1.0,2.0,4.0,37.0
CATHOLIC,0.0,,12.0,2.0,Less than once a year,4.0,20.0,2.0,CATHOLIC,Not very strong,High school,18.0,1.0,1.0,5.0,4.0,33.0
PROTESTANT,3.0,26.0,14.0,2.0,2-3 times a month,6.0,18.0,1.0,PROTESTANT,Strong,High school,57.0,2.0,2.0,1.0,2.0,50.0
PROTESTANT,1.0,25.0,16.0,2.0,Several times a year,6.0,11.0,1.0,PROTESTANT,Strong,Bachelor's,65.0,2.0,1.0,2.0,2.0,14.0
PROTESTANT,1.0,20.0,12.0,2.0,About once or twice a year,5.0,11.0,2.0,PROTESTANT,Not very strong,High school,25.0,2.0,2.0,5.0,4.0,20.0
NONE,0.0,,12.0,2.0,Less than once a year,2.0,20.0,1.0,CATHOLIC,No religion,High school,30.0,1.0,2.0,5.0,5.0,60.0
NONE,2.0,24.0,13.0,1.0,About once or twice a year,6.0,20.0,1.0,PROTESTANT,No religion,High school,37.0,2.0,2.0,5.0,4.0,
PROTESTANT,2.0,23.0,12.0,2.0,Every week,6.0,22.0,1.0,CATHOLIC,Strong,High school,68.0,2.0,1.0,1.0,4.0,
NONE,3.0,26.0,15.0,2.0,Never,1.0,23.0,1.0,NONE,No religion,High school,47.0,1.0,1.0,3.0,1.0,48.0
PROTESTANT,0.0,,10.0,2.0,Never,5.0,10.0,1.0,PROTESTANT,Strong,Less than high school,61.0,1.0,1.0,5.0,6.0,
PROTESTANT,0.0,,12.0,3.0,2-3 times a month,6.0,20.0,3.0,PROTESTANT,Not very strong,High school,23.0,1.0,3.0,5.0,4.0,40.0
NONE,0.0,,18.0,1.0,Never,1.0,16.0,1.0,PROTESTANT,No religion,High school,27.0,1.0,1.0,5.0,4.0,40.0
OTHER,0.0,,11.0,3.0,Never,3.0,22.0,2.0,PROTESTANT,Not very strong,High school,19.0,1.0,1.0,5.0,5.0,54.0
PROTESTANT,0.0,,20.0,1.0,Every week,5.0,23.0,1.0,CATHOLIC,Strong,Bachelor's,54.0,1.0,1.0,1.0,1.0,45.0
NONE,0.0,,16.0,1.0,Never,3.0,20.0,1.0,NONE,No religion,Associate/junior college,34.0,2.0,1.0,1.0,2.0,
PROTESTANT,3.0,22.0,18.0,1.0,Every week,6.0,19.0,1.0,PROTESTANT,Strong,Graduate,89.0,2.0,1.0,2.0,3.0,
CATHOLIC,1.0,33.0,14.0,1.0,2-3 times a month,6.0,21.0,1.0,CATHOLIC,Not very strong,High school,34.0,1.0,3.0,1.0,4.0,
CATHOLIC,6.0,27.0,16.0,1.0,Every week,6.0,26.0,2.0,CATHOLIC,Strong,Bachelor's,64.0,1.0,1.0,1.0,6.0,
NONE,2.0,28.0,16.0,1.0,Never,1.0,24.0,2.0,PROTESTANT,No religion,Bachelor's,36.0,2.0,1.0,1.0,4.0,40.0
NONE,3.0,28.0,16.0,1.0,Never,2.0,21.0,1.0,CATHOLIC,No religion,Bachelor's,42.0,2.0,1.0,3.0,4.0,
NONE,0.0,,16.0,2.0,Less than once a year,6.0,26.0,1.0,BUDDHISM,No religion,Associate/junior college,44.0,2.0,3.0,1.0,4.0,40.0
CATHOLIC,2.0,27.0,15.0,1.0,About once or twice a year,2.0,26.0,1.0,CATHOLIC,Not very strong,High school,44.0,1.0,1.0,2.0,6.0,40.0
NONE,0.0,,18.0,2.0,Never,1.0,26.0,1.0,NONE,No religion,Bachelor's,43.0,1.0,1.0,5.0,3.0,45.0
CATHOLIC,3.0,29.0,17.0,2.0,Every week,6.0,20.0,1.0,CATHOLIC,Strong,Bachelor's,77.0,2.0,1.0,2.0,4.0,
NONE,2.0,28.0,9.0,2.0,About once or twice a year,3.0,,1.0,CATHOLIC,No religion,High school,43.0,1.0,1.0,3.0,,40.0
PROTESTANT,2.0,24.0,12.0,2.0,Several times a year,6.0,19.0,2.0,PROTESTANT,Not very strong,High school,36.0,1.0,1.0,3.0,4.0,16.0
NONE,0.0,,16.0,2.0,Never,2.0,16.0,1.0,PROTESTANT,No religion,Bachelor's,30.0,1.0,1.0,5.0,2.0,24.0
OTHER,3.0,27.0,19.0,1.0,Never,4.0,23.0,1.0,CHRISTIAN,Strong,Bachelor's,58.0,1.0,1.0,3.0,4.0,
PROTESTANT,2.0,21.0,16.0,2.0,About once or twice a year,6.0,24.0,1.0,PROTESTANT,Strong,Bachelor's,89.0,2.0,1.0,3.0,5.0,
NONE,0.0,,12.0,3.0,Never,2.0,10.0,1.0,NONE,No religion,High school,62.0,1.0,1.0,5.0,6.0,
CATHOLIC,1.0,28.0,14.0,1.0,Never,6.0,10.0,1.0,CATHOLIC,Not very strong,High school,76.0,2.0,1.0,2.0,6.0,27.0
NONE,3.0,24.0,14.0,2.0,Less than once a year,3.0,22.0,1.0,NONE,No religion,Associate/junior college,51.0,2.0,1.0,1.0,1.0,
NONE,0.0,,14.0,2.0,About once or twice a year,5.0,17.0,1.0,PROTESTANT,No religion,Associate/junior college,27.0,2.0,1.0,5.0,3.0,68.0
NONE,0.0,,14.0,1.0,Never,3.0,17.0,1.0,PROTESTANT,No religion,High school,73.0,1.0,1.0,1.0,2.0,
NONE,0.0,,8.0,2.0,Never,1.0,25.0,1.0,NONE,No religion,Less than high school,28.0,1.0,1.0,5.0,4.0,50.0
NONE,0.0,,16.0,2.0,Never,2.0,21.0,1.0,NONE,No religion,Bachelor's,34.0,1.0,1.0,1.0,2.0,40.0
PROTESTANT,6.0,15.0,12.0,2.0,2-3 times a month,6.0,11.0,2.0,PROTESTANT,Strong,High school,40.0,2.0,1.0,5.0,4.0,
CATHOLIC,1.0,28.0,16.0,1.0,Several times a year,6.0,22.0,2.0,CATHOLIC,Not very strong,Bachelor's,35.0,2.0,1.0,1.0,4.0,40.0
PROTESTANT,0.0,,14.0,1.0,Every week,6.0,16.0,1.0,PROTESTANT,Strong,High school,70.0,1.0,1.0,2.0,4.0,50.0
PROTESTANT,3.0,20.0,13.0,1.0,Never,2.0,16.0,1.0,PROTESTANT,Not very strong,High school,82.0,2.0,1.0,2.0,3.0,
CATHOLIC,4.0,25.0,17.0,2.0,About once a month,6.0,12.0,2.0,CATHOLIC,Not very strong,Associate/junior college,52.0,2.0,1.0,3.0,2.0,32.0
PROTESTANT,1.0,30.0,12.0,2.0,About once a month,5.0,21.0,2.0,PROTESTANT,Not very strong,High school,56.0,1.0,1.0,3.0,4.0,48.0
CHRISTIAN,0.0,,15.0,1.0,Every week,6.0,20.0,1.0,NONE,Strong,High school,46.0,2.0,1.0,1.0,6.0,
PROTESTANT,3.0,18.0,12.0,1.0,Every week,6.0,21.0,1.0,NONE,Strong,High school,33.0,2.0,1.0,1.0,6.0,11.0
CATHOLIC,0.0,,8.0,2.0,About once or twice a year,5.0,19.0,2.0,CATHOLIC,Not very strong,Less than high school,23.0,2.0,3.0,5.0,4.0,24.0
NONE,2.0,30.0,12.0,2.0,Never,3.0,24.0,2.0,NONE,No religion,High school,48.0,1.0,1.0,1.0,4.0,42.0
NONE,2.0,35.0,14.0,2.0,Never,3.0,20.0,2.0,PROTESTANT,No religion,Associate/junior college,55.0,1.0,1.0,3.0,3.0,42.0
PROTESTANT,0.0,,12.0,2.0,Never,6.0,9.0,1.0,PROTESTANT,Not very strong,High school,56.0,2.0,1.0,3.0,4.0,
PROTESTANT,2.0,27.0,16.0,1.0,Never,6.0,26.0,1.0,PROTESTANT,Not very strong,Bachelor's,74.0,2.0,1.0,1.0,1.0,
NONE,3.0,20.0,12.0,2.0,Never,1.0,17.0,2.0,PROTESTANT,No religion,High school,28.0,2.0,1.0,5.0,5.0,38.0
CATHOLIC,2.0,,,2.0,Nearly every week,6.0,19.0,1.0,CATHOLIC,Strong,High school,24.0,2.0,2.0,1.0,6.0,32.0
NONE,2.0,20.0,20.0,3.0,Never,3.0,19.0,1.0,PROTESTANT,No religion,Bachelor's,62.0,1.0,2.0,1.0,5.0,
PROTESTANT,2.0,26.0,15.0,3.0,About once or twice a year,6.0,14.0,3.0,PROTESTANT,Strong,Associate/junior college,74.0,2.0,2.0,2.0,2.0,15.0
CATHOLIC,1.0,19.0,12.0,2.0,About once or twice a year,5.0,15.0,2.0,CATHOLIC,Not very strong,High school,24.0,2.0,3.0,5.0,3.0,37.0
NONE,0.0,,15.0,2.0,Never,1.0,17.0,3.0,CATHOLIC,No religion,High school,29.0,2.0,2.0,1.0,1.0,89.0
CATHOLIC,3.0,18.0,14.0,1.0,Never,5.0,18.0,2.0,CATHOLIC,Not very strong,High school,59.0,2.0,1.0,2.0,3.0,70.0
CATHOLIC,0.0,,15.0,2.0,Every week,6.0,17.0,1.0,CATHOLIC,Strong,Associate/junior college,73.0,1.0,1.0,5.0,3.0,
NONE,6.0,21.0,3.0,1.0,Never,6.0,14.0,1.0,CATHOLIC,No religion,Less than high school,65.0,1.0,3.0,1.0,5.0,
PROTESTANT,0.0,,12.0,1.0,Several times a week,6.0,,2.0,PROTESTANT,Strong,High school,19.0,2.0,1.0,1.0,4.0,38.0
NONE,0.0,,12.0,1.0,Several times a year,6.0,13.0,2.0,,No religion,High school,22.0,2.0,3.0,5.0,,20.0
NONE,3.0,35.0,16.0,2.0,Less than once a year,6.0,20.0,2.0,PROTESTANT,No religion,Bachelor's,40.0,1.0,1.0,1.0,5.0,15.0
NONE,0.0,,7.0,2.0,Never,5.0,21.0,1.0,CATHOLIC,No religion,Less than high school,48.0,1.0,3.0,1.0,2.0,70.0
PROTESTANT,6.0,16.0,12.0,3.0,Never,4.0,2.0,1.0,PROTESTANT,Strong,High school,61.0,1.0,2.0,1.0,3.0,
NONE,3.0,29.0,16.0,1.0,Never,3.0,26.0,2.0,CATHOLIC,No religion,Graduate,49.0,2.0,1.0,1.0,3.0,52.0
CATHOLIC,3.0,18.0,12.0,2.0,Every week,6.0,21.0,2.0,CATHOLIC,Not very strong,High school,39.0,1.0,3.0,1.0,3.0,40.0
NONE,6.0,17.0,16.0,3.0,Never,3.0,15.0,1.0,CATHOLIC,No religion,Associate/junior college,45.0,2.0,3.0,4.0,4.0,40.0
NONE,0.0,,13.0,2.0,Never,1.0,10.0,1.0,PROTESTANT,No religion,High school,60.0,1.0,1.0,5.0,2.0,
NONE,0.0,,16.0,1.0,Never,1.0,18.0,1.0,NONE,No religion,Bachelor's,32.0,1.0,1.0,5.0,3.0,40.0
NONE,0.0,,18.0,3.0,Never,2.0,17.0,1.0,CATHOLIC,No religion,Bachelor's,39.0,1.0,1.0,5.0,4.0,32.0
