RELIG,CHILDS,AGEKDBRN,EDUC,HAPPY,ATTEND,GOD,INCOME16,FAMGEN,RELIG16,RELITEN,DEGREE,AGE,SEX,RACE,MARITAL,POLVIEWS,HRS1
PROTESTANT,1.0,33.0,19.0,2.0,Every week,6.0,20.0,1.0,PROTESTANT,Strong,Graduate,45.0,1.0,1.0,1.0,5.0,50.0
NONE,2.0,30.0,12.0,2.0,About once or twice a year,6.0,10.0,1.0,CATHOLIC,No religion,High school,65.0,2.0,1.0,3.0,3.0,30.0
CATHOLIC,0.0,,12.0,2.0,Never,5.0,17.0,1.0,CATHOLIC,Strong,High school,52.0,1.0,1.0,5.0,4.0,40.0
CATHOLIC,1.0,26.0,12.0,1.0,About once or twice a year,5.0,18.0,1.0,CATHOLIC,Not very strong,High school,62.0,2.0,1.0,2.0,4.0,
OTHER,0.0,,18.0,2.0,About once or twice a year,3.0,,1.0,OTHER,Not very strong,Graduate,60.0,1.0,3.0,1.0,4.0,
MUSLIM/ISLAM,2.0,24.0,16.0,2.0,Several times a year,6.0,21.0,2.0,MUSLIM/ISLAM,Not very strong,Bachelor's,62.0,2.0,1.0,3.0,2.0,
CATHOLIC,3.0,18.0,12.0,3.0,Never,6.0,16.0,1.0,CATHOLIC,Somewhat strong (vol.),High school,46.0,2.0,1.0,2.0,5.0,25.0
CATHOLIC,2.0,32.0,18.0,2.0,Never,6.0,23.0,2.0,CATHOLIC,Not very strong,Graduate,40.0,1.0,1.0,1.0,3.0,20.0
CATHOLIC,3.0,33.0,18.0,2.0,Every week,3.0,26.0,2.0,CATHOLIC,Not very strong,Graduate,53.0,2.0,1.0,1.0,3.0,
PROTESTANT,1.0,39.0,17.0,2.0,Every week,6.0,23.0,1.0,PROTESTANT,Strong,Bachelor's,75.0,1.0,1.0,3.0,6.0,
OTHER,2.0,40.0,16.0,2.0,Several times a year,3.0,22.0,2.0,PROTESTANT,Strong,Bachelor's,67.0,2.0,1.0,3.0,4.0,
CATHOLIC,0.0,,14.0,2.0,About once or twice a year,6.0,,2.0,CATHOLIC,Strong,High school,22.0,1.0,1.0,5.0,,30.0
PROTESTANT,3.0,18.0,12.0,3.0,Several times a year,6.0,15.0,5.0,PROTESTANT,Somewhat strong (vol.),High school,42.0,2.0,1.0,4.0,4.0,40.0
JEWISH,2.0,25.0,18.0,2.0,Several times a year,5.0,21.0,2.0,JEWISH,Not very strong,Graduate,59.0,2.0,1.0,3.0,4.0,55.0
HINDUISM,1.0,28.0,18.0,1.0,Several times a year,3.0,19.0,2.0,HINDUISM,Not very strong,Graduate,33.0,2.0,3.0,1.0,4.0,
NONE,2.0,28.0,16.0,2.0,About once or twice a year,1.0,26.0,1.0,NONE,No religion,Bachelor's,46.0,1.0,1.0,1.0,3.0,40.0
CATHOLIC,1.0,43.0,14.0,2.0,Less than once a year,5.0,24.0,1.0,CATHOLIC,Not very strong,Bachelor's,55.0,1.0,1.0,3.0,4.0,40.0
